   Step   Time    Walltime(s) Profile
8500000  42.5000    56.9154   ▇▇▇▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
9000000  45.0000    60.2752   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
9500000  47.5000    63.6371   ▇▇▇▇▇▇▇▇▇▇▇▇████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
10000000  50.0000    66.9680   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
10500000  52.5000    70.3193   ▇▇▇▇▇▇▇▇▇██████████████████████████████▇▇▇▇▇▇▇▇▇
11000000  55.0000    73.6729   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
11500000  57.5000    77.0312   ▇▇▇██████████████████████████████████████████▇▇▇
12000000  60.0000    80.4016   ████████████████████████████████████████████████
12500000  62.5000    83.7558   ████████████████████████████████████████████████
13000000  65.0000    87.1055   ████████████████████████████████████████████████
13500000  67.5000    90.4489   ████████████████████████████████████████████████
14000000  70.0000    93.7830   ████████████████████████████████████████████████
14500000  72.5000    97.1433   ████████████████████████████████████████████████
15000000  75.0000   100.4767   ████████████████████████████████████████████████
15500000  77.5000   103.7962   ████████████████████████████████████████████████
16000000  80.0000   107.1267   ████████████████████████████████████████████████
16500000  82.5000   110.4886   ████████████████████████████████████████████████
17000000  85.0000   113.8335   ████████████████████████████████████████████████
17500000  87.5000   117.2029   ████████████████████████████████████████████████
18000000  90.0000   120.5798   ████████████████████████████████████████████████
18500000  92.5000   123.9304   ████████████████████████████████████████████████
19000000  95.0000   127.2942   ████████████████████████████████████████████████
19500000  97.5000   130.6146   ████████████████████████████████████████████████
20000000 100.0000   133.9777   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0020   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
 500000   2.5000     2.5262   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▃▄▅▆▇▇████▇▇▆▅▄▃▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁
1000000   5.0000     5.0595   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
1500000   7.5000     7.6308   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇▇██████▇▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁
2000000  10.0000    10.2083   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
2500000  12.5000    12.7442   ▂▂▂▂▂▂▃▃▃▄▄▄▅▅▆▆▆▇▇▇████████▇▇▇▆▆▆▅▅▄▄▄▃▃▃▂▂▂▂▂▂
3000000  15.0000    15.3177   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
3500000  17.5000    17.8602   ▃▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▃▃
4000000  20.0000    20.4435   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    23.0119   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▆▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    25.5486   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
5500000  27.5000    28.1362   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇██████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅
6000000  30.0000    30.7171   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
6500000  32.5000    33.2643   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇████████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆
